시점,총합,풍속,기압,기온,수온,유가,원데이터
2021.12.01,31322.1098,1.818462542,1.311515107,-0.860178617,-0.403287407,71.71,4160000
2021.11.01,18914.8897,1.019060235,0.582875462,-0.061222147,0.207945083,79.15,4160000
2021.10.01,15006.4832,0.354874582,0.75162765,0.685962346,1.035938166,81.48,4160000
2021.09.01,16626.2434,0.777048484,-0.514057393,1.281735969,1.448537057,71.65,4160000
2021.08.01,7868.1516,-0.495979174,-1.234263111,1.601184342,1.795418411,67.73,4160000
2021.07.01,3681.448,-0.625379541,-1.287197226,1.498028958,1.511230695,72.49,4160000
2021.06.01,1083.5844,-1.176139048,-1.299966652,0.809723428,0.625954715,71.38,4160000
2021.05.01,328.56029,-0.462334757,-1.081896794,0.169440031,-0.258260627,65.17,4160000
2021.04.01,2786.08583,0.229630648,0.407392064,-0.296300273,-0.781599332,61.72,4160000
2021.03.01,5861.46021,0.386007364,0.577558999,-0.703609277,-1.117523502,62.33,4160000
2021.02.01,7208.99467,1.638960585,0.82104303,-1.091509762,-1.210255342,59.04,4160000
2021.01.01,11481.50961,1.778863067,1.277902786,-1.332140964,-1.008431315,52,4160000
2020.12.01,12006.7744,1.257069415,1.535395113,-1.071426292,-0.49528827,47.02,4125000
2020.11.01,14164.8189,0.75925586,1.325957723,-0.155843361,0.068243878,40.94,4125000
2020.10.01,9132.3049,0.41189815,0.612382788,0.493731562,0.631930352,39.4,4125000
2020.09.01,7513.1285,0.36956867,-0.670632158,1.081561851,1.145562031,39.63,4125000
2020.08.01,5400.1523,-0.440876543,-1.175423226,1.509354287,1.434648529,42.34,4125000
2020.07.01,7320.1655,-1.074320342,-1.433700924,0.965867258,0.790044639,40.71,4125000
2020.06.01,1419.166,-1.19596877,-1.489271389,0.748016916,0.499249135,38.31,4125000
2020.05.01,519.0113,-0.618724732,-0.870034405,0.09672919,-0.374997309,28.56,4125000
2020.04.01,553.771,0.682528056,0.235738959,-0.467153632,-0.842126417,16.55,4125000
2020.03.01,3726.15683,0.977591532,0.30857259,-0.784974371,-1.116173574,29.21,4125000
2020.02.01,10045.95621,0.849562966,1.297098459,-1.038528523,-1.082394925,50.54,4125000
2020.01.01,5801.32207,1.347752979,1.024307166,-1.031434289,-0.849919244,57.52,4125000
2019.12.01,39576.8145,1.124147971,1.357186879,-0.838865074,-0.459603806,59.88,3843000
2019.11.01,12330.5967,0.987086343,0.954460818,-0.125587755,0.186297406,57.03,3843000
2019.10.01,9167.2358,0.722930274,0.31705781,0.598359361,0.841620659,53.96,3843000
2019.09.01,8130.0089,0.08741447,-0.337382797,1.174554093,1.277791138,56.95,3843000
2019.08.01,7552.317,-0.951994214,-1.473809873,1.572919387,1.676161857,54.81,3843000
2019.07.01,2084.2874,-0.404930204,-1.559487539,1.123296003,0.992884823,57.35,3843000
2019.06.01,695.61305,-1.323526905,-1.386799385,0.656359754,0.456698844,54.66,3843000
2019.05.01,574.3688,-0.90192195,-0.618410336,0.247236152,-0.178115713,60.83,3843000
2019.04.01,1028.26441,-0.493423276,-0.147532711,-0.392148811,-0.757865328,63.86,3843000
2019.03.01,1794.99626,0.484694107,0.181815972,-0.783121085,-1.064806531,58.15,3843000
2019.02.01,1860.09912,0.623979975,1.144871223,-1.208157593,-1.137697073,54.95,3843000
2019.01.01,16326.46717,1.075156428,1.415603294,-1.280889507,-0.932559854,51.38,3843000
2018.12.01,11332.4163,1.38683322,1.526939349,-1.030114391,-0.435421325,49.52,3835000
2018.11.01,21053.8443,-0.360151051,1.073172714,-0.158709831,0.054000656,56.96,3835000
2018.10.01,17432.2356,0.379728463,0.345709508,0.396454503,0.645682695,70.75,3835000
2018.09.01,29183.0013,0.117139716,-0.514521006,1.13977973,1.338689869,70.23,3835000
2018.08.01,17162.4046,-0.429776249,-1.393197415,1.686906489,1.847658244,68.06,3835000
2018.07.01,11297.3958,-1.069608805,-1.202737456,1.398019342,1.38044787,70.98,3835000
2018.06.01,865.5521,-1.11077386,-1.237026482,0.726271551,0.515424388,67.87,3835000
2018.05.01,278.0261,-0.381683452,-0.711420655,0.144732673,-0.276849546,69.98,3835000
2018.04.01,3370.9403,0.026395318,-0.056628617,-0.338148064,-0.839072886,66.25,3835000
2018.03.01,11525.1913,0.426763914,0.593327825,-0.895548655,-1.326115746,62.73,3835000
2018.02.01,2935.85598,1.003769621,1.036428774,-1.530704292,-1.463561324,62.23,3835000
2018.01.01,15093.35131,1.32134599,0.931131531,-1.606799554,-1.148854933,63.7,3835000
2017.12.01,35306.19849,1.314793731,1.33972741,-1.2793865,-0.695879152,57.88,3709000
2017.11.01,11424.64834,0.667651331,0.876384559,-0.352182294,0.061762177,56.64,3709000
2017.10.01,6076.14888,0.939641424,0.587070386,0.582383663,0.75547632,51.58,3709000
2017.09.01,11944.25683,-0.310075982,-0.569468045,1.18951098,1.3195964,49.82,3709000
2017.08.01,14617.20883,-0.44340414,-1.385563301,1.67711389,1.832653824,48.04,3709000
2017.07.01,7918.85337,-1.148503469,-1.283394007,1.392948917,1.261975662,46.63,3709000
2017.06.01,2160.89335,-1.505482235,-1.127927227,0.718461415,0.455934499,45.18,3709000
2017.05.01,824.56828,-1.175151424,-0.548358808,0.267661595,-0.203537195,48.48,3709000
2017.04.01,217.53175,-0.238829467,-0.434622468,-0.233250199,-0.809053927,51.06,3709000
2017.03.01,1716.25673,-0.074815825,0.553729647,-0.84043613,-1.11354505,49.33,3709000
2017.02.01,2476.78455,1.550118268,1.029619504,-1.257192553,-1.214375707,53.47,3709000
2017.01.01,9186.82124,1.527739992,1.283021094,-1.250467681,-0.837257025,52.5,3709000
2016.12.01,15712.74641,1.346687336,1.200836286,-0.782655292,-0.400364824,51.97,3701000
2016.11.01,28583.38597,0.993217134,0.955398971,-0.220847079,0.143329294,45.66,3701000
2016.1.01,19837.38405,0.724825242,0.377911697,0.654617124,0.822976055,49.78,3701000
2016.09.01,19167.51956,-0.620153351,-0.489807616,1.212401192,1.299265001,45.18,3701000
2016.08.01,13531.16436,-0.898924917,-1.6130532,1.740217819,1.966554334,44.72,3701000
2016.07.01,5633.39713,-1.262095158,-1.219657667,1.311013779,1.200258143,44.65,3701000
2016.06.01,2046.09677,-1.430253199,-1.246017996,0.794125146,0.571681216,48.76,3701000
2016.05.01,2246.66043,-0.808478536,-0.639622,0.245315494,-0.202792028,46.71,3701000
2016.04.01,5549.97638,-0.233947743,-0.341367846,-0.271547101,-0.747253681,40.75,3701000
2016.03.01,3449.71239,-0.079437329,0.859798419,-0.885202581,-1.202045572,37.55,3701000
2016.02.01,2243.55014,1.242206256,1.13770657,-1.34275102,-1.317395344,30.32,3701000
2016.01.01,15198.06363,1.477699145,1.057270799,-1.39865162,-0.842754239,31.68,3701000
2015.12.01,14129.58783,0.842936252,1.288795558,-0.851892721,-0.47697104,37.19,3614000
2015.11.01,15340.57627,0.717630005,1.028382882,-0.022693962,0.185150668,42.44,3614000
2015.10.01,13683.82857,-0.110740913,0.336659675,0.493984753,0.675650851,46.22,3614000
2015.09.01,12324.83977,-0.367541585,-0.365686992,0.988149631,1.159826397,45.48,3614000
2015.08.01,17472.29349,-1.351927017,-1.22168975,1.35028102,1.438938816,42.87,3614000
2015.07.01,6842.17035,-0.851061065,-1.368742122,0.980834381,0.79983063,50.9,3614000
2015.06.01,3802.84121,-1.560711421,-1.374101689,0.570568373,0.298408032,59.82,3614000
2015.05.01,348.15229,-1.356905246,-0.979608042,0.088896061,-0.394609397,59.27,3614000
2015.04.01,10415.75418,-0.24884435,-0.003903355,-0.477100387,-1.02957996,54.45,3614000
2015.03.01,14572.01502,-0.407901922,0.812405715,-0.999852655,-1.383895367,47.82,3614000
2015.02.01,7197.14223,1.157874281,0.907126167,-1.302183696,-1.274128567,50.58,3614000
2015.01.01,15605.49561,1.328266612,1.115772322,-1.309774193,-1.106374069,47.22,3614000
2014.12.01,32475.12995,2.07320971,1.057122295,-1.318122091,-0.648341763,59.29,3512000
2014.11.01,29140.16365,-0.03276893,0.796278856,-0.178885072,0.097866417,75.79,3512000
2014.10.01,12313.19854,-0.031145965,0.466191789,0.522955964,0.691572738,84.4,3512000
2014.09.01,14829.73517,-1.000347773,-0.45365454,1.079496785,1.21971667,93.21,3512000
2014.08.01,16919.66468,-0.982360204,-1.330084633,1.165560472,1.171416842,96.54,3512000
2014.07.01,4974.76227,-1.608205041,-1.396332643,1.12178663,0.983337451,103.59,3512000
2014.06.01,1121.31707,-1.765353988,-1.487680651,0.690287807,0.486064003,105.79,3512000
2014.05.01,707.2882,-0.653665418,-0.786880845,0.164256444,-0.288293348,102.18,3512000
2014.04.01,1649.26651,-0.842888462,0.146863349,-0.358752402,-0.811341083,102.07,3512000
2014.03.01,3056.71808,0.239720579,0.591373251,-0.947603035,-1.339903018,100.8,3512000
2014.02.01,3782.94284,0.661620377,1.320024692,-1.421424134,-1.426696422,100.82,3512000
2014.01.01,6479.37951,0.712029486,1.279062985,-1.344100235,-1.149576357,94.62,3512000
2013.12.01,22509.93901,1.792080159,0.784613882,-1.175941615,-0.745533313,97.63,3371000
2013.11.01,14077.93454,1.097384431,0.533154196,-0.332688258,0.091782748,93.86,3371000
2013.10.01,7786.03277,0.859315304,0.433001093,0.598039473,0.794470921,100.54,3371000
2013.09.01,16514.98947,-0.553006244,-0.218368085,1.137531297,1.250483109,106.29,3371000
2013.08.01,10681.52673,-1.405709874,-1.438125807,1.593698833,1.682815423,106.57,3371000
2013.07.01,4975.6618,-0.347228515,-1.562255272,1.159030675,0.885330254,104.67,3371000
2013.06.01,2149.06101,-2.300643349,-1.215362243,0.650159538,0.365113647,95.77,3371000
2013.05.01,459.6313,-0.886747383,-0.652127474,-0.01088274,-0.501255081,94.51,3371000
2013.04.01,1042.22705,0.813566249,-0.446620049,-0.6469719,-1.056176373,92.02,3371000
2013.03.01,2075.8854,0.713754569,0.2180459,-0.938041178,-1.254333994,92.94,3371000
2013.02.01,1671.14799,0.883635359,1.221884452,-1.485441903,-1.398883398,95.31,3371000
2013.01.01,18170.1371,0.878058361,1.366098548,-1.580461349,-1.289926629,94.76,3371000
